,resultrowid,toxpointsummaryrowid,testmaterial,program,programcode,parentprojectcode,parentproject,projectcode,project,protocol,sampleagency,stationname,stationcode,waterbodytype,latitude,longitude,datum,sampledate,sampleyear,collectiontime,locationcode,collectiondepth,unitcollectiondepth,sampletype,collectionreplicate,resultreplicate,batch,labsampleid,matrix,matrixcode,method,analytegroup,analytesubgroup,analyte,analytecode,fraction,fractioncode,unitname,result,mdl,rl,resultqualcode,qacode,qualcombo,batchverification,compliancecode,displaycode,displaycode_toxresult,collectionmethod,collectiondevice,positionwatercolumn,preppreservation,preppreservationdate,digestextractmethod,digestextractdate,analysisdate,dilution_df,expectedvalue,labagency,submittingagency,labsubmissioncode,batchcomments,toxresultqacode,toxtestdurcode,wqsource,timepoint,toxpointmethod,treatment,unittreatment,treatmentconcentration,toxbatchstartdate,reftoxbatch,organismageatteststart,repcount,mean,stddev,statmethod,alphalevel,evalthreshold,msd,sigeffectcode,bvalue,calcvaluetype,calculatedvalue,criticalvalue,percenteffect,compositeid,compositetype,commonname,species,numberfishpercomp,tissuename,tissuecode,weightavgg,tlminmm,tlmaxmm,tlavgmm,compositetissueprep,organismgroup,lifstage,sievesize,grabsize,unitgrabsize,sourcerdc,datausenotes,sm_geom,regional_board,countynum,county_name,huc8_name,huc10_name,huc12_name,baysegment_name
139048,966CAE85-3159-4406-B2F5-1802E212D56B,,toxwater,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,07RMP2ST,2007 RMP Status and Trends,RMP,AMS-CA,Yerba Buena Island (BC10),BC10,Bays and Harbors,37.821999999999996,-122.35,wgs84,2007-08-13,2007,11:16:00,OpenWater1,1.0,m,Grab,1,0.0,PER12418-3_W_TOX,,samplewater,5,EPA 1007.0,Conventional,Nutrients,"Ammonia as NH3, Unionized",4870,Total,2,mg/l,0.0,,,ND,None,ND,VAF,Com,20,20.0,Water_Grab,Peristaltic Pump,Subsurface,,,,,,100.0,,PER,PER,"A,MD",Some WQ deviances,None,7 days,overlyingwater,initial,ToxWQMeasurement,None,None,0.0,2007-08-14,PER12419,7 days,,,,,,,,,,,,,,,,Mysid Shrimp,Americamysis bahia,,,,,,,,,,,,,,SFEI,,010100002031BF0D0041945A765CFA69C1505BD2B3915F5141,2.0,1.0,Alameda,San Pablo Bay,San Francisco Bay,Richardson Bay-San Francisco Bay,Central Bay
139049,23475CB3-56BC-454F-A0A6-80BD869C4F08,,toxwater,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,07RMP2ST,2007 RMP Status and Trends,RMP,AMS-CA,San Joaquin River (BG30),BG30,Bays and Harbors,38.021,-121.805,wgs84,2007-08-07,2007,14:41:00,OpenWater1,1.0,m,Grab,1,0.0,PER12418-1_W_TOX,,samplewater,5,EPA 1007.0,Conventional,Nutrients,"Ammonia as NH3, Unionized",4870,Total,2,mg/l,0.0,,,ND,"H,VTW",ND,VAF,Qual,30,30.0,Water_Grab,Peristaltic Pump,Subsurface,,,,,,100.0,,PER,PER,"A,MD","Due to failure by FedEx to deliver test organisms as scheduled, the tests for samples BG20 and BG30 were initiated ~47 hrs and ~43 hrs after sample collection, respectively.Some WQ deviances","VH,VTW",7 days,overlyingwater,initial,ToxWQMeasurement,None,None,0.0,2007-08-09,PER12419,7 days,,,,,,,,,,,,,,,,Mysid Shrimp,Americamysis bahia,,,,,,,,,,,,,,SFEI,,010100002031BF0D002F346FD2BCDC69C1E86B5735FE7A5141,5.0,34.0,Sacramento,San Joaquin Delta,Middle River-San Joaquin River,Markley Canyon-San Joaquin River,Rivers
139050,A414FA1F-BFBF-46D6-B540-A9D0199B846C,,toxwater,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,07RMP2ST,2007 RMP Status and Trends,RMP,AMS-CA,Sacramento River (BG20),BG20,Bays and Harbors,38.06,-121.81,wgs84,2007-08-07,2007,10:53:00,OpenWater1,1.0,m,Grab,1,0.0,PER12418-1_W_TOX,,samplewater,5,EPA 1007.0,Conventional,Nutrients,"Ammonia as NH3, Unionized",4870,Total,2,mg/l,0.0,,,ND,"H,VTW",ND,VAF,Qual,30,30.0,Water_Grab,Peristaltic Pump,Subsurface,,,,,,100.0,,PER,PER,"A,MD","Due to failure by FedEx to deliver test organisms as scheduled, the tests for samples BG20 and BG30 were initiated ~47 hrs and ~43 hrs after sample collection, respectively.Some WQ deviances","VH,VTW",7 days,overlyingwater,initial,ToxWQMeasurement,None,None,0.0,2007-08-09,PER12419,7 days,,,,,,,,,,,,,,,,Mysid Shrimp,Americamysis bahia,,,,,,,,,,,,,,SFEI,,010100002031BF0D00F78B8D6502DD69C1E2005E5160805141,5.0,34.0,Sacramento,Lower Sacramento,Sherman Lake-Sacramento River,Threemile Slough-Sacramento River,Rivers
139051,5C5E8DD5-E3E3-4FD4-8F9E-73976150A7E2,,toxwater,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,07RMP2ST,2007 RMP Status and Trends,RMP,AMS-CA,Dumbarton Bridge (BA30),BA30,Bays and Harbors,37.514,-122.135,wgs84,2007-08-16,2007,08:20:00,OpenWater1,1.0,m,Grab,1,0.0,PER12418-5_W_TOX,,samplewater,5,EPA 1007.0,Conventional,Nutrients,"Ammonia as NH3, Unionized",4870,Total,2,mg/l,0.0,,,ND,VTW,ND,VAF,Qual,30,30.0,Water_Grab,Peristaltic Pump,Subsurface,,,,,,100.0,,PER,PER,"A,MD",Some WQ deviances,VTW,7 days,overlyingwater,initial,ToxWQMeasurement,None,None,0.0,2007-08-17,PER12419,7 days,,,,,,,,,,,,,,,,Mysid Shrimp,Americamysis bahia,,,,,,,,,,,,,,SFEI,,010100002031BF0D00B2D541C0ACEE69C1C35151FF44355141,2.0,41.0,San Mateo,San Francisco Bay,San Francisco Bay,Oakland Inner Harbor-San Francisco Bay,South Bay
139257,03A8A09E-B94F-42C7-ABFF-13F2055BE36E,,toxwater,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,11RMP2ST,2011 RMP Status and Trends,RMP,AMS-CA,Dumbarton Bridge (BA30),BA30,Bays and Harbors,37.514,-122.135,wgs84,2011-09-14,2011,07:14:00,OpenWater1,1.0,m,Grab,1,0.0,PER_70MYSI_C3_W_Tox,,samplewater,5,EPA 1007.0,Conventional,Nutrients,"Ammonia as NH3, Unionized",4870,Total,2,mg/l,0.0,,,ND,VH,ND,VLC,Com,30,20.0,Water_Grab,Peristaltic Pump,Subsurface,,,,,,100.0,,PER,PER,"A,MD","pH drift outside of EPA Method specifications, holdtime exceedance on BA30 sample",None,7 days,overlyingwater,initial,ToxWQMeasurement,None,None,0.0,2011-09-20,40MYSIRTPER,7 days,,,,,,,,,,,,,,,,Mysid Shrimp,Americamysis bahia,,,,,,,,,,,,,,SFEI,,010100002031BF0D00B2D541C0ACEE69C1C35151FF44355141,2.0,41.0,San Mateo,San Francisco Bay,San Francisco Bay,Oakland Inner Harbor-San Francisco Bay,South Bay
139258,0FE1A5D5-899C-4ABE-9A47-38FC31C638FA,,toxwater,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,11RMP2ST,2011 RMP Status and Trends,RMP,AMS-CA,Sacramento River (BG20),BG20,Bays and Harbors,38.06,-121.81,wgs84,2011-09-22,2011,08:19:00,Openwater1,1.0,m,Grab,1,0.0,PER_70MYSI_C5_W_Tox,,samplewater,5,EPA 1007.0,Conventional,Nutrients,"Ammonia as NH3, Unionized",4870,Total,2,mg/l,0.0,,,ND,VTW,ND,VLC,Com,30,20.0,Water_Grab,Peristaltic Pump,Subsurface,,,,,,100.0,,PER,PER,"A,MD",pH drift outside of EPA Method specifications,None,7 days,overlyingwater,initial,ToxWQMeasurement,None,None,0.0,2011-09-22,40MYSIRTPER,7 days,,,,,,,,,,,,,,,,Mysid Shrimp,Americamysis bahia,,,,,,,,,,,,,,SFEI,,010100002031BF0D00F78B8D6502DD69C1E2005E5160805141,5.0,34.0,Sacramento,Lower Sacramento,Sherman Lake-Sacramento River,Threemile Slough-Sacramento River,Rivers
139259,15AFF875-C0E9-434E-9A26-99ED036A6EFD,,toxwater,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,11RMP2ST,2011 RMP Status and Trends,RMP,AMS-CA,Suisun Bay (SU041W),SU041W,Bays and Harbors,38.09582,-122.06299999999999,wgs84,2011-09-21,2011,07:08:00,OpenWater1,1.0,m,Grab,1,0.0,PER_70MYSI_C4_W_Tox,,samplewater,5,EPA 1007.0,Conventional,Nutrients,"Ammonia as NH3, Unionized",4870,Total,2,mg/l,0.0,,,ND,VTW,ND,VLC,Com,30,20.0,Water_Grab,Peristaltic Pump,Subsurface,,,,,,100.0,,PER,PER,"A,MD",pH drift outside of EPA Method specifications,None,7 days,overlyingwater,initial,ToxWQMeasurement,None,None,0.0,2011-09-21,40MYSIRTPER,7 days,,,,,,,,,,,,,,,,Mysid Shrimp,Americamysis bahia,,,,,,,,,,,,,,SFEI,,010100002031BF0D00417F26E0C2EA69C1429EA2B452855141,2.0,48.0,Solano,Suisun Bay,Suisun Bay,Suisun Bay,Suisun Bay
139260,2E0770B9-4D0F-4442-8863-5CFD27B130E9,,toxwater,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,11RMP2ST,2011 RMP Status and Trends,RMP,AMS-CA,Lower South Bay (LSB050W),LSB050W,Bays and Harbors,37.4802,-122.07758000000001,wgs84,2011-09-13,2011,07:43:00,OpenWater1,1.0,m,Grab,1,0.0,PER_70MYSI_C1_W_Tox,,samplewater,5,EPA 1007.0,Conventional,Nutrients,"Ammonia as NH3, Unionized",4870,Total,2,mg/l,0.0,,,ND,None,ND,VLC,Com,20,20.0,Water_Grab,Peristaltic Pump,Subsurface,,,,,,100.0,,PER,PER,"A,MD",pH drift outside of EPA Method specifications,None,7 days,overlyingwater,initial,ToxWQMeasurement,None,None,0.0,2011-09-13,40MYSIRTPER,7 days,,,,,,,,,,,,,,,,Mysid Shrimp,Americamysis bahia,,,,,,,,,,,,,,SFEI,,010100002031BF0D00A33B5FC18DEB69C1A67B5E61A3305141,2.0,1.0,Alameda,San Francisco Bay,San Francisco Bay,Oakland Inner Harbor-San Francisco Bay,Lower South Bay
139261,357E1EA6-E6AB-4F6D-B2F9-E72039F348C3,,toxwater,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,11RMP2ST,2011 RMP Status and Trends,RMP,AMS-CA,San Joaquin River (BG30),BG30,Bays and Harbors,38.021,-121.805,wgs84,2011-09-22,2011,10:30:00,Openwater1,1.0,m,Grab,1,0.0,PER_70MYSI_C5_W_Tox,,samplewater,5,EPA 1007.0,Conventional,Nutrients,"Ammonia as NH3, Unionized",4870,Total,2,mg/l,0.0,,,ND,VTW,ND,VLC,Com,30,20.0,Water_Grab,Peristaltic Pump,Subsurface,,,,,,100.0,,PER,PER,"A,MD",pH drift outside of EPA Method specifications,None,7 days,overlyingwater,initial,ToxWQMeasurement,None,None,0.0,2011-09-22,40MYSIRTPER,7 days,,,,,,,,,,,,,,,,Mysid Shrimp,Americamysis bahia,,,,,,,,,,,,,,SFEI,,010100002031BF0D002F346FD2BCDC69C1E86B5735FE7A5141,5.0,34.0,Sacramento,San Joaquin Delta,Middle River-San Joaquin River,Markley Canyon-San Joaquin River,Rivers
139262,5AD51773-325E-4357-AA5B-61323E719825,,toxwater,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,11RMP2ST,2011 RMP Status and Trends,RMP,AMS-CA,San Pablo Bay (SPB033W),SPB033W,Bays and Harbors,38.08548,-122.38517,wgs84,2011-09-20,2011,10:06:00,OpenWater1,1.0,m,Grab,1,0.0,PER_70MYSI_C3_W_Tox,,samplewater,5,EPA 1007.0,Conventional,Nutrients,"Ammonia as NH3, Unionized",4870,Total,2,mg/l,0.0,,,ND,VTW,ND,VLC,Com,30,20.0,Water_Grab,Peristaltic Pump,Subsurface,,,,,,100.0,,PER,PER,"A,MD","pH drift outside of EPA Method specifications, holdtime exceedance on BA30 sample",None,7 days,overlyingwater,initial,ToxWQMeasurement,None,None,0.0,2011-09-20,40MYSIRTPER,7 days,,,,,,,,,,,,,,,,Mysid Shrimp,Americamysis bahia,,,,,,,,,,,,,,SFEI,,010100002031BF0D007DF4C2D945FC69C136165314E5835141,2.0,49.0,Sonoma,San Pablo Bay,San Pablo Bay,San Pablo Bay,San Pablo Bay
