,resultrowid,toxpointsummaryrowid,testmaterial,program,programcode,parentprojectcode,parentproject,projectcode,project,protocol,sampleagency,stationname,stationcode,waterbodytype,latitude,longitude,datum,sampledate,sampleyear,collectiontime,locationcode,collectiondepth,unitcollectiondepth,sampletype,collectionreplicate,resultreplicate,batch,labsampleid,matrix,matrixcode,method,analytegroup,analytesubgroup,analyte,analytecode,fraction,fractioncode,unitname,result,mdl,rl,resultqualcode,qacode,qualcombo,batchverification,compliancecode,displaycode,displaycode_toxresult,collectionmethod,collectiondevice,positionwatercolumn,preppreservation,preppreservationdate,digestextractmethod,digestextractdate,analysisdate,dilution_df,expectedvalue,labagency,submittingagency,labsubmissioncode,batchcomments,toxresultqacode,toxtestdurcode,wqsource,timepoint,toxpointmethod,treatment,unittreatment,treatmentconcentration,toxbatchstartdate,reftoxbatch,organismageatteststart,repcount,mean,stddev,statmethod,alphalevel,evalthreshold,msd,sigeffectcode,bvalue,calcvaluetype,calculatedvalue,criticalvalue,percenteffect,compositeid,compositetype,commonname,species,numberfishpercomp,tissuename,tissuecode,weightavgg,tlminmm,tlmaxmm,tlavgmm,compositetissueprep,organismgroup,lifstage,sievesize,grabsize,unitgrabsize,sourcerdc,datausenotes,sm_geom,regional_board,countynum,county_name,huc8_name,huc10_name,huc12_name,baysegment_name
240,022D2E35-2C50-428B-80FE-4F34F0E027BA,,field,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,01RMP2ST,2001 RMP Status and Trends,RMP,AMS-CA,Grizzly Bay (BF20),BF20,Bays and Harbors,38.116,-122.04,wgs84,2001-08-08,2001,00:00:00,OpenWater1,1.0,m,,1,1.0,,,samplewater,5,Not Recorded,Conventional,,"Oxygen, Dissolved",38,Dissolved,3,mg/l,8.99,,,=,None,None,VAF,Com,20,,Water_Grab,Not Recorded,Subsurface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SFEI,,010100002031BF0D00DE5101D582E969C16D08486D1C885141,2.0,48.0,Solano,Suisun Bay,Suisun Bay,Suisun Bay,Suisun Bay
270,02430178-D207-4FE9-BAFD-DC9606C86778,,field,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,99RMP2ST,1999 RMP Status and Trends,RMP,AMS-CA,Standish Dam (BW10),BW10,Bays and Harbors,37.45167,-121.9215,wgs84,1999-07-22,1999,00:00:00,OpenWater1,1.0,m,,1,1.0,,,samplewater,5,Not Recorded,Conventional,,"Oxygen, Dissolved",38,Dissolved,3,mg/l,7.82,,,=,None,None,VAF,Com,20,,Water_Grab,Not Recorded,Subsurface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SFEI,,010100002031BF0D0044FE7EE911E369C17313EA09BB2C5141,2.0,43.0,Santa Clara,San Francisco Bay,San Francisco Bay,San Francisco Bay Estuaries,
273,043CBF97-7128-408D-B05A-47FF4116F3E9,,field,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,10RMP2ST,2010 RMP Status and Trends,RMP,AMS-CA,Suisun Bay (SU036W),SU036W,Bays and Harbors,38.09617,-122.02733,wgs84,2010-09-01,2010,07:07:00,OpenWater1,1.0,m,,1,1.0,,,samplewater,5,FieldMeasure,Conventional,,"Oxygen, Dissolved",38,Total,2,mg/l,8.5,,,=,NBC,None,NR,Com,20,,Field,SFEI YSI 556 water quality meter,Subsurface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SFEI,,010100002031BF0D00A67CA187D2E869C178ED27155F855141,2.0,48.0,Solano,Suisun Bay,Suisun Bay,Suisun Bay,Suisun Bay
430,04F1770F-D69E-4A24-A308-ECD5AE468399,,field,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,15RMP2ST,2015 RMP Status and Trends,RMP,AMS-CA,Golden Gate (BC20),BC20,Bays and Harbors,37.864000000000004,-122.67333,wgs84,2015-08-28,2015,07:19:00,OpenWater1,1.0,m,,1,1.0,,,samplewater,5,FieldMeasure,Conventional,,"Oxygen, Dissolved",38,Total,2,mg/l,7.13,,,=,NBC,None,NR,Com,20,,Field,SFEI YSI 556 water quality meter,Subsurface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SFEI,,010100002031BF0D0016FD2494EF0B6AC1ACF44FD659655141,,,,Tomales-Drake Bays,Drakes Bay-Frontal Pacific Ocean,Bolinas Bay,
457,04F5243A-9F66-47F6-A442-BB7C65EC6090,,field,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,99RMP2ST,1999 RMP Status and Trends,RMP,AMS-CA,Coyote Creek (BA10),BA10,Bays and Harbors,37.469,-122.06299999999999,wgs84,1999-02-01,1999,00:00:00,OpenWater1,1.0,m,,1,1.0,,,samplewater,5,Not Recorded,Conventional,,"Oxygen, Dissolved",38,Dissolved,3,mg/l,9.1,,,=,None,None,VAF,Com,20,,Water_Grab,Not Recorded,Subsurface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SFEI,,010100002031BF0D00417F26E0C2EA69C1F7B1A9A11A2F5141,2.0,1.0,Alameda,San Francisco Bay,San Francisco Bay,Oakland Inner Harbor-San Francisco Bay,Lower South Bay
529,0C244330-2392-432E-BFEE-841119459E49,,field,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,99RMP2ST,1999 RMP Status and Trends,RMP,AMS-CA,San Pablo Bay (BD20),BD20,Bays and Harbors,38.048,-122.42200000000001,wgs84,1999-07-19,1999,00:00:00,OpenWater1,1.0,m,,1,1.0,,,samplewater,5,Not Recorded,Conventional,,"Oxygen, Dissolved",38,Dissolved,3,mg/l,8.26,,,=,None,None,VAF,Com,20,,Water_Grab,Not Recorded,Subsurface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SFEI,,010100002031BF0D00B1EA755646FE69C1F7B0BA34B87E5141,2.0,21.0,Marin,San Pablo Bay,San Pablo Bay,San Pablo Bay,San Pablo Bay
542,0087B219-0D80-43A6-BFD5-12A8EBB5CC2D,,field,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,98RMP2ST,1998 RMP Status and Trends,RMP,AMS-CA,Napa River (BD50),BD50,Bays and Harbors,38.097,-122.26100000000001,wgs84,1998-07-28,1998,00:00:00,OpenWater1,1.0,m,,1,1.0,,,samplewater,5,Not Recorded,Conventional,,"Oxygen, Dissolved",38,Dissolved,3,mg/l,5.14,,,=,None,None,VAF,Com,20,,Water_Grab,Not Recorded,Subsurface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SFEI,,010100002031BF0D00F5AC710886F569C13A22236F7C855141,2.0,48.0,Solano,San Pablo Bay,San Pablo Bay,San Pablo Bay Estuaries,
808,0509630D-518A-4303-9869-72BA501EA249,,field,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,01RMP2ST,2001 RMP Status and Trends,RMP,AMS-CA,Coyote Creek (BA10),BA10,Bays and Harbors,37.469,-122.06299999999999,wgs84,2001-07-31,2001,00:00:00,OpenWater1,1.0,m,,1,1.0,,,samplewater,5,Not Recorded,Conventional,,"Oxygen, Dissolved",38,Dissolved,3,mg/l,6.64,,,=,None,None,VAF,Com,20,,Water_Grab,Not Recorded,Subsurface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SFEI,,010100002031BF0D00417F26E0C2EA69C1F7B1A9A11A2F5141,2.0,1.0,Alameda,San Francisco Bay,San Francisco Bay,Oakland Inner Harbor-San Francisco Bay,Lower South Bay
850,057097CA-C4DE-49BB-AEFB-B4CFA267A1E2,,field,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,99RMP2ST,1999 RMP Status and Trends,RMP,AMS-CA,Pacheco River (BF10),BF10,Bays and Harbors,38.051,-122.09899999999999,wgs84,1999-07-20,1999,00:00:00,OpenWater1,1.0,m,,1,1.0,,,samplewater,5,Not Recorded,Conventional,,"Oxygen, Dissolved",38,Dissolved,3,mg/l,8.5,,,=,None,None,VAF,Com,20,,Water_Grab,Not Recorded,Subsurface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SFEI,,010100002031BF0D007A2A34D0B7EC69C11254383A227F5141,2.0,48.0,Solano,Suisun Bay,Suisun Bay,Suisun Bay,Suisun Bay
862,05A253D2-3017-4636-9DBA-BA919D53235D,,field,SF Bay Regional Monitoring for Water Quality,SF Bay RMP,RMP_ST,Regional Monitoring Program - Status and Trends,99RMP2ST,1999 RMP Status and Trends,RMP,AMS-CA,Dumbarton Bridge (BA30),BA30,Bays and Harbors,37.514,-122.135,wgs84,1999-02-02,1999,00:00:00,OpenWater1,1.0,m,,1,1.0,,,samplewater,5,Not Recorded,Conventional,,"Oxygen, Dissolved",38,Dissolved,3,mg/l,8.5,,,=,None,None,VAF,Com,20,,Water_Grab,Not Recorded,Subsurface,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SFEI,,010100002031BF0D00B2D541C0ACEE69C1C35151FF44355141,2.0,41.0,San Mateo,San Francisco Bay,San Francisco Bay,Oakland Inner Harbor-San Francisco Bay,South Bay
